sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2023 PPR  1600453","2023 PPR  1600453","","15/11/2022","**","","-199.00","0.00","NZD","0.00","2023","202304","PPR","1600453 ITR","","25/10/2022","25/10/2022","ACE.006927377.0000002","2023.PPR.1600453","","0.00","","CG Invoices to be received account"
"","2023 PPR  1606259","2023 PPR  1606259","","15/12/2022","**","","-398.00","0.00","NZD","0.00","2023","202305","PPR","1606259 ITR","","09/11/2022","09/11/2022","ACE.006930646.0000002","2023.PPR.1606259","","0.00","","CG Invoices to be received account"
"","2023 PPR  1606268","2023 PPR  1606268","","15/12/2022","**","","-199.00","0.00","NZD","0.00","2023","202305","PPR","1606268 ITR","","09/11/2022","09/11/2022","ACE.006930650.0000002","2023.PPR.1606268","","0.00","","CG Invoices to be received account"
"","2023 PPR  1606277","2023 PPR  1606277","","15/12/2022","**","","-199.00","0.00","NZD","0.00","2023","202305","PPR","1606277 ITR","","09/11/2022","09/11/2022","ACE.006930658.0000002","2023.PPR.1606277","","0.00","","CG Invoices to be received account"
"","2023 PPR  1609249","2023 PPR  1609249","","15/12/2022","**","","-199.00","0.00","NZD","0.00","2023","202305","PPR","1609249 ITR","","17/11/2022","17/11/2022","ACE.006932386.0000002","2023.PPR.1609249","","0.00","","CG Invoices to be received account"
"","2023 PPR  1610189","2023 PPR  1610189","","15/12/2022","**","","-199.00","0.00","NZD","0.00","2023","202305","PPR","1610189 ITR","","21/11/2022","21/11/2022","ACE.006932794.0000002","2023.PPR.1610189","","0.00","","CG Invoices to be received account"
"","2023 PPR  1610205","2023 PPR  1610205","","15/12/2022","**","","-199.00","0.00","NZD","0.00","2023","202305","PPR","1610205 ITR","","21/11/2022","21/11/2022","ACE.006932800.0000004","2023.PPR.1610205","","0.00","","CG Invoices to be received account"
"","2023 PPR  1613788","2023 PPR  1613788","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1613788 ITR","","01/12/2022","01/12/2022","ACE.006934389.0000002","2023.PPR.1613788","","0.00","","CG Invoices to be received account"
"","2023 PPR  1613789","2023 PPR  1613789","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1613789 ITR","","01/12/2022","01/12/2022","ACE.006934389.0000004","2023.PPR.1613789","","0.00","","CG Invoices to be received account"
"","2023 PPR  1614741","2023 PPR  1614741","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1614741 ITR","","06/12/2022","06/12/2022","ACE.006934833.0000002","2023.PPR.1614741","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615263","2023 PPR  1615263","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615263 ITR","","07/12/2022","07/12/2022","ACE.006935105.0000002","2023.PPR.1615263","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615264","2023 PPR  1615264","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615264 ITR","","07/12/2022","07/12/2022","ACE.006935106.0000002","2023.PPR.1615264","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615265","2023 PPR  1615265","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615265 ITR","","07/12/2022","07/12/2022","ACE.006935107.0000002","2023.PPR.1615265","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615266","2023 PPR  1615266","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615266 ITR","","07/12/2022","07/12/2022","ACE.006935108.0000002","2023.PPR.1615266","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615267","2023 PPR  1615267","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615267 ITR","","07/12/2022","07/12/2022","ACE.006935109.0000002","2023.PPR.1615267","","0.00","","CG Invoices to be received account"
